fp_resample_aal , finished
fp_resample_fmri_stereo , finished
fp_t1_preprocess_subject1 , finished
fp_slice_timing_subject1_session1_motor , finished
fp_motion_target_subject1_session1_motor , finished
fp_motion_Wrun_subject1_session1_motor , finished
fp_motion_parameters_subject1_session1_motor , finished
fp_anat2func_subject1 , finished
fp_concat_transf_nl_subject1 , finished
fp_resample_subject1_session1_motor , finished
fp_qc_motion_subject1 , finished
fp_mask_corsica_subject1 , finished
fp_time_filter_subject1_session1_motor , finished
fp_confounds_subject1_session1_motor , finished
fp_sica_subject1_run1 , finished
fp_component_sel_ventricles_subject1_run1 , finished
fp_component_sel_stem_subject1_run1 , finished
fp_component_supp_subject1_run1 , finished
fp_qc_corsica_var_subject1_session1_motor , finished
fp_smooth_subject1_session1_motor , finished
fp_t1_preprocess_subject2 , finished
fp_slice_timing_subject2_session1_motor , finished
fp_motion_target_subject2_session1_motor , finished
fp_motion_Wrun_subject2_session1_motor , finished
fp_motion_parameters_subject2_session1_motor , finished
fp_anat2func_subject2 , finished
fp_concat_transf_nl_subject2 , finished
fp_resample_subject2_session1_motor , finished
fp_qc_motion_subject2 , finished
fp_mask_corsica_subject2 , finished
fp_time_filter_subject2_session1_motor , finished
fp_confounds_subject2_session1_motor , finished
fp_sica_subject2_run1 , finished
fp_component_sel_ventricles_subject2_run1 , finished
fp_component_sel_stem_subject2_run1 , finished
fp_component_supp_subject2_run1 , finished
fp_qc_corsica_var_subject2_session1_motor , finished
fp_smooth_subject2_session1_motor , finished
fp_qc_coregister_group_anat_stereolin , finished
fp_qc_group_coregister_anat_stereonl , finished
fp_qc_group_coregister_func , finished
fp_qc_group_motion_estimation , finished
fp_qc_group_wm , finished
fp_qc_group_vent , finished
fp_qc_group_slow_drift , finished
fp_qc_group_high , finished
fp_qc_group_motion , finished
fp_qc_group_compcor , finished
fp_qc_group_gse , finished
fp_qc_group_scrubbing , finished
fp_qc_group_corsica_var_group , finished
fp_test_sanity , finished
glm_connectome_unit , finished
fp_test_regression , submitted
demoniak_region_growing , submitted
fp_test_regression , failed
demoniak_connectome , submitted
demoniak_connectome , failed
demoniak_stability_fir , submitted
demoniak_region_growing , failed
demoniak_glm_fir , submitted
demoniak_glm_fir , failed
demoniak_stability_rest , submitted
demoniak_stability_fir , failed
demoniak_glm_connectome , submitted
demoniak_stability_rest , failed
demoniak_glm_connectome , failed
